epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.811,1.19564,1.36295,0.90243,0.52386,0.27614,0.29549,0.23715,0.90073,0.84927,0.85695,0.0667655,1.8289e-05,1.8289e-05
2,239.031,1.04243,0.87155,0.8666,0.54456,0.42471,0.44123,0.35302,0.86527,0.66904,0.84737,0.0334504,3.65499e-05,3.65499e-05
3,356.69,0.975,0.7288,0.8564,0.62547,0.50667,0.53524,0.43787,0.8171,0.58652,0.8415,0.000135253,5.47381e-05,5.47381e-05
4,474.127,0.93409,0.65872,0.84905,0.71225,0.54781,0.58672,0.48285,0.78894,0.54061,0.8353,5.46733e-05,5.46733e-05,5.46733e-05
5,591.452,0.91343,0.62789,0.84538,0.77456,0.57021,0.62486,0.51246,0.79473,0.52278,0.83444,5.45644e-05,5.45644e-05,5.45644e-05
6,708.946,0.89352,0.59614,0.84184,0.76157,0.62469,0.67686,0.5582,0.76385,0.49454,0.83037,5.44555e-05,5.44555e-05,5.44555e-05
7,826.214,0.87683,0.57345,0.83997,0.76999,0.6491,0.70922,0.58432,0.77737,0.48716,0.82962,5.43466e-05,5.43466e-05,5.43466e-05
8,943.425,0.86606,0.55785,0.83741,0.76782,0.68216,0.73319,0.60576,0.74339,0.46539,0.82656,5.42377e-05,5.42377e-05,5.42377e-05
9,1060.8,0.8656,0.5455,0.83525,0.80886,0.70365,0.75636,0.62798,0.73841,0.45388,0.82604,5.41288e-05,5.41288e-05,5.41288e-05
10,1177.87,0.85357,0.54378,0.83525,0.80132,0.70733,0.76765,0.63489,0.73869,0.44831,0.82554,5.40199e-05,5.40199e-05,5.40199e-05
11,1294.84,0.84306,0.52148,0.83276,0.83,0.70696,0.77688,0.64637,0.73319,0.44186,0.8238,5.3911e-05,5.3911e-05,5.3911e-05
12,1411.99,0.83979,0.51382,0.83157,0.83578,0.71214,0.77994,0.64378,0.75284,0.44332,0.8241,5.38021e-05,5.38021e-05,5.38021e-05
13,1528.93,0.83309,0.50715,0.83075,0.845,0.72941,0.80297,0.6623,0.75437,0.44017,0.82376,5.36932e-05,5.36932e-05,5.36932e-05
14,1646.05,0.82664,0.49835,0.82985,0.85176,0.74342,0.8112,0.66869,0.74375,0.431,0.82306,5.35843e-05,5.35843e-05,5.35843e-05
15,1762.9,0.82282,0.49152,0.82913,0.85548,0.75404,0.81809,0.67745,0.73165,0.42292,0.82155,5.34754e-05,5.34754e-05,5.34754e-05
16,1879.79,0.81208,0.48587,0.82758,0.85717,0.75891,0.82388,0.67935,0.76174,0.42657,0.82165,5.33665e-05,5.33665e-05,5.33665e-05
17,1996.98,0.813,0.48136,0.8261,0.8576,0.76126,0.82699,0.6838,0.77002,0.42671,0.82172,5.32576e-05,5.32576e-05,5.32576e-05
18,2114.16,0.80672,0.47743,0.82577,0.86666,0.76102,0.83363,0.68686,0.75242,0.42129,0.82124,5.31487e-05,5.31487e-05,5.31487e-05
19,2231.14,0.8024,0.47523,0.82529,0.87529,0.7623,0.83406,0.68901,0.76113,0.41898,0.82136,5.30398e-05,5.30398e-05,5.30398e-05
