epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1763,1.1604,1.30606,0.88697,0.35057,0.23524,0.24219,0.17945,1.07706,0.99606,0.88104,0.0668459,1.82448e-05,1.82448e-05
2,189.543,0.96055,0.71714,0.8491,0.46792,0.38511,0.4166,0.32686,0.90056,0.72788,0.85323,0.0335309,3.65057e-05,3.65057e-05
3,285.582,0.88243,0.60546,0.8374,0.56124,0.47577,0.50386,0.39028,0.89631,0.6518,0.84905,0.000215725,5.4694e-05,5.4694e-05
4,381.111,0.83084,0.54813,0.83045,0.6177,0.52655,0.56377,0.44079,0.86081,0.59651,0.84285,5.46733e-05,5.46733e-05,5.46733e-05
5,476.984,0.79439,0.50934,0.82563,0.65421,0.55098,0.59121,0.4628,0.85751,0.57029,0.84192,5.45644e-05,5.45644e-05,5.45644e-05
6,572.508,0.75515,0.48206,0.82083,0.68402,0.57329,0.62443,0.49317,0.82812,0.55101,0.83747,5.44555e-05,5.44555e-05,5.44555e-05
7,667.994,0.73604,0.46633,0.81864,0.70776,0.57872,0.64119,0.50336,0.8457,0.54051,0.83757,5.43466e-05,5.43466e-05,5.43466e-05
8,763.631,0.72001,0.4528,0.81622,0.7219,0.59723,0.65921,0.51394,0.84983,0.53083,0.83582,5.42377e-05,5.42377e-05,5.42377e-05
9,859.212,0.70174,0.43928,0.81396,0.71356,0.62273,0.67387,0.53174,0.8091,0.50914,0.83299,5.41288e-05,5.41288e-05,5.41288e-05
10,954.784,0.68017,0.42834,0.81093,0.72218,0.63045,0.68776,0.54131,0.81516,0.50214,0.83261,5.40199e-05,5.40199e-05,5.40199e-05
11,1050.26,0.66965,0.42078,0.81009,0.72183,0.6446,0.69849,0.54699,0.83477,0.50015,0.83247,5.3911e-05,5.3911e-05,5.3911e-05
12,1145.8,0.65206,0.4087,0.80878,0.7326,0.64195,0.70209,0.55278,0.8204,0.4938,0.8315,5.38021e-05,5.38021e-05,5.38021e-05
13,1241.2,0.64272,0.40302,0.80847,0.7443,0.6613,0.71529,0.56271,0.823,0.48728,0.83091,5.36932e-05,5.36932e-05,5.36932e-05
14,1336.48,0.6229,0.3912,0.80657,0.76945,0.66142,0.72437,0.57497,0.79978,0.47344,0.8291,5.35843e-05,5.35843e-05,5.35843e-05
15,1432.07,0.61528,0.38568,0.80535,0.75442,0.67723,0.73285,0.58091,0.79956,0.47309,0.82865,5.34754e-05,5.34754e-05,5.34754e-05
16,1527.49,0.61229,0.38239,0.80411,0.75412,0.67196,0.73357,0.57927,0.82313,0.47476,0.82935,5.33665e-05,5.33665e-05,5.33665e-05
17,1620.76,0.59889,0.37365,0.80333,0.77292,0.68488,0.73887,0.57829,0.84193,0.47162,0.82918,5.32576e-05,5.32576e-05,5.32576e-05
18,1714.08,0.59663,0.37075,0.80229,0.78014,0.68899,0.7457,0.58956,0.81409,0.46122,0.82697,5.31487e-05,5.31487e-05,5.31487e-05
19,1809.52,0.58356,0.36328,0.8012,0.79477,0.69329,0.75375,0.59632,0.8023,0.45536,0.82683,5.30398e-05,5.30398e-05,5.30398e-05
20,1904.84,0.58177,0.36348,0.80177,0.79319,0.68348,0.75126,0.59194,0.81404,0.46093,0.82698,5.29309e-05,5.29309e-05,5.29309e-05
21,1998.09,0.58286,0.36296,0.80044,0.8105,0.69822,0.75862,0.60271,0.78411,0.44593,0.82528,5.2822e-05,5.2822e-05,5.2822e-05
22,2093.55,0.57649,0.35833,0.80029,0.81601,0.68584,0.75487,0.59446,0.82577,0.45955,0.82714,5.27131e-05,5.27131e-05,5.27131e-05
23,2186.76,0.56499,0.3506,0.79788,0.82456,0.70254,0.76693,0.60965,0.80883,0.44649,0.82577,5.26042e-05,5.26042e-05,5.26042e-05
24,2282.14,0.55489,0.34591,0.79859,0.82858,0.70392,0.77185,0.61595,0.7959,0.44305,0.82442,5.24953e-05,5.24953e-05,5.24953e-05
25,2377.8,0.55194,0.34473,0.79777,0.83361,0.70296,0.77419,0.61602,0.78755,0.43866,0.82434,5.23864e-05,5.23864e-05,5.23864e-05
26,2473.27,0.54925,0.34151,0.79792,0.82512,0.70775,0.77399,0.6143,0.80989,0.43979,0.82501,5.22775e-05,5.22775e-05,5.22775e-05
27,2566.19,0.54062,0.33758,0.79661,0.83599,0.71561,0.78168,0.61605,0.82211,0.44178,0.82455,5.21686e-05,5.21686e-05,5.21686e-05
28,2661.65,0.53558,0.33434,0.79576,0.84238,0.71345,0.78264,0.61813,0.83417,0.44372,0.82474,5.20597e-05,5.20597e-05,5.20597e-05
29,2757.01,0.54736,0.33679,0.79581,0.84905,0.71165,0.78407,0.62628,0.78719,0.42978,0.82254,5.19508e-05,5.19508e-05,5.19508e-05
30,2852.38,0.54065,0.33287,0.79561,0.84103,0.71924,0.78589,0.62293,0.81079,0.4334,0.82355,5.18419e-05,5.18419e-05,5.18419e-05
31,2945.51,0.53007,0.33004,0.79574,0.84193,0.71442,0.78338,0.61755,0.84422,0.44256,0.82428,5.1733e-05,5.1733e-05,5.1733e-05
32,3038.63,0.52445,0.32629,0.79531,0.84106,0.71313,0.7866,0.61509,0.85082,0.44469,0.82541,5.16241e-05,5.16241e-05,5.16241e-05
33,3131.71,0.52584,0.32857,0.79388,0.84356,0.71272,0.78772,0.62438,0.83117,0.44124,0.82443,5.15152e-05,5.15152e-05,5.15152e-05
34,3225.03,0.51825,0.32404,0.79405,0.85513,0.72096,0.79818,0.6381,0.79287,0.42472,0.82232,5.14063e-05,5.14063e-05,5.14063e-05
35,3320.5,0.5204,0.32376,0.79383,0.84908,0.7257,0.79931,0.63679,0.79578,0.42658,0.8221,5.12974e-05,5.12974e-05,5.12974e-05
36,3413.63,0.51471,0.3208,0.79301,0.84801,0.71917,0.79589,0.62558,0.83455,0.43331,0.82365,5.11885e-05,5.11885e-05,5.11885e-05
37,3506.58,0.50952,0.31859,0.79324,0.86174,0.72303,0.80553,0.64079,0.80072,0.42513,0.82162,5.10796e-05,5.10796e-05,5.10796e-05
38,3602.15,0.51017,0.31874,0.79307,0.85502,0.72155,0.8034,0.64077,0.8062,0.42423,0.82153,5.09707e-05,5.09707e-05,5.09707e-05
39,3695.39,0.50715,0.31572,0.79224,0.86585,0.72201,0.80679,0.64485,0.79963,0.41964,0.8212,5.08618e-05,5.08618e-05,5.08618e-05
40,3790.65,0.50076,0.31291,0.7919,0.85412,0.73486,0.80878,0.64511,0.79178,0.41583,0.82017,5.07529e-05,5.07529e-05,5.07529e-05
41,3886.06,0.50058,0.31236,0.79185,0.85654,0.73289,0.80693,0.63413,0.83377,0.42813,0.82238,5.0644e-05,5.0644e-05,5.0644e-05
42,3979.15,0.50235,0.31125,0.79198,0.87123,0.72129,0.80614,0.63684,0.8293,0.42458,0.82155,5.05351e-05,5.05351e-05,5.05351e-05
43,4072.33,0.49509,0.30883,0.79113,0.87824,0.7243,0.80864,0.64134,0.81636,0.42054,0.8208,5.04262e-05,5.04262e-05,5.04262e-05
44,4165.4,0.49593,0.30802,0.79169,0.87441,0.72886,0.81197,0.6458,0.8028,0.41898,0.82037,5.03173e-05,5.03173e-05,5.03173e-05
45,4261.01,0.49225,0.3072,0.79054,0.87051,0.73642,0.81537,0.65158,0.7904,0.41419,0.82009,5.02084e-05,5.02084e-05,5.02084e-05
46,4356.59,0.48663,0.30373,0.78999,0.8602,0.7406,0.81095,0.63742,0.83448,0.42178,0.82103,5.00995e-05,5.00995e-05,5.00995e-05
47,4449.69,0.48864,0.3054,0.79036,0.86725,0.72803,0.80878,0.64497,0.80133,0.4155,0.81952,4.99906e-05,4.99906e-05,4.99906e-05
48,4542.71,0.47988,0.3017,0.78949,0.8731,0.73421,0.81663,0.65097,0.80745,0.41727,0.8196,4.98817e-05,4.98817e-05,4.98817e-05
49,4635.88,0.48836,0.3031,0.78928,0.87413,0.73922,0.82055,0.65139,0.80395,0.41171,0.8187,4.97728e-05,4.97728e-05,4.97728e-05
50,4731.39,0.4817,0.30018,0.78876,0.88175,0.74225,0.82244,0.65364,0.79332,0.4088,0.81843,4.96639e-05,4.96639e-05,4.96639e-05
